DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,F_4_ON_STREAM_HRS,F_4_BORE_WI_VOL,F_5_ON_STREAM_HRS,F_5_BORE_WI_VOL
2010-02-05,24.0,3583.1218827576345,223.25901575,42.09382479166667,858.37499859586,186.832795625,390.0259669280438,16323.882552074,12869933.409285748,15371.35363481,24.0,50790.49604284108,24.0,48384.57332943496
2010-02-06,24.0,3591.6558851318377,223.263658625,41.78782833333333,865.4299665503296,191.104366625,397.4188335309993,16186.19859804,12778465.597303752,11330.905101582,24.0,51002.625511119775,24.0,48313.03950217549
2010-02-07,24.0,3594.214970262164,223.279101125,41.97939916666667,864.387861337941,193.466895125,395.5275958166311,16020.210496306,12753977.347959071,16164.624547682,24.0,49596.40482798338,24.0,47953.774186227965
2010-02-08,24.0,3578.1275958765714,223.310928125,43.33474041666667,845.608453583809,193.9529465,375.23038324242685,16407.033848206,12964373.30361902,17298.86609318,24.0,49526.72063091289,24.0,48145.11126774022
2010-02-09,24.0,3588.0187284517187,223.323423125,42.84323375,852.775671682632,193.95013925,383.1804636834416,16222.36500899,12810810.653700631,17137.280858866,24.0,46859.08897,24.0,50437.9912014
2010-02-10,24.0,3608.350747061423,223.310013125,41.727705416666666,870.76049623237,193.357691375,402.95170294402783,15861.204084338,12550925.077243855,16454.270325812,24.0,45801.378466971866,24.0,51193.22531413728
2010-02-11,24.0,3628.682765671128,223.296603125,40.501278125,888.2417406909134,193.68012425,420.71464997082126,15729.621246586,12392122.437077334,14343.095397922,24.0,46015.623460630784,24.0,51129.74790871875
2010-02-12,24.0,3665.907003290782,223.278729125,38.6704075,920.087117823958,193.413885125,456.18511543553575,14899.240451174,11689021.548519185,14136.97830456,24.0,44006.36536741582,24.0,47281.67847420058
2010-02-13,24.0,3661.378317764894,223.188413,38.78538604166667,924.9124266753928,193.216219625,460.1949435618264,15262.477013324,11784816.466614565,14843.072442516,24.0,29389.90701062532,24.0,19147.35157857558
2010-02-14,15.33334,3659.248095216507,223.2102072840909,34.2605028125,890.904859069214,182.5536861550073,462.4624540472236,9037.82885114,7112770.108268417,8102.345320602,13.59167,26260.80202447593,13.59167,21412.331020431287
2010-02-15,13.7,3657.1178726681196,223.23200156818183,28.8390259375,1004.5177862591514,185.00711045250364,553.3564959787782,6329.247712462,4856040.71601844,4231.029794407999,11.075,19743.7154734,10.325,17296.97915
2010-02-16,24.0,3654.9876501197327,223.25379585227273,41.81106354166667,866.8716567741473,187.46053475,397.4805893911918,16680.955099836,13146000.519180976,14895.718157238,24.0,49794.80336454306,24.0,52400.7485964322
2010-02-17,24.0,3652.857427571346,223.27559013636363,41.78546291666667,867.5129683272902,185.725021625,398.2720150031648,16393.762347840002,12926083.729372911,14438.826315254,24.0,48775.25727011333,24.0,53774.45183147781
2010-02-18,21.6,3650.727205022959,223.29738442045453,39.01851272727273,896.3052776719841,184.2331704106884,424.0866432678651,13470.824463914,10620371.128646892,12444.70476263,19.83334,44893.5137488638,19.83334,50718.86350681608
2010-02-19,24.0,3648.5969824745716,223.31917870454546,41.37896958333334,877.8961897745148,192.1137305,408.60950121700665,16107.701761752,12706525.030285403,15385.19121813,24.0,45695.94572907048,24.0,53422.621789746205
2010-02-20,24.0,3646.4667599261847,223.34097298863637,40.98188666666667,885.2622835425356,193.30805127659576,416.3722611119793,15845.982742686,12499693.38393766,15532.498582382,24.0,46320.728075798776,24.0,54312.85322812817
2010-02-21,24.0,3644.336537377798,223.36276727272727,40.09620458333333,887.5708955069214,193.52143093617025,418.2515956383365,15678.29639209,12361472.837829754,15519.47867444,24.0,44189.43454793022,24.0,57414.5126287196
2010-02-22,24.0,3642.206314829411,223.38456155681817,40.83427541666666,894.0001226351952,193.767756875,424.7224868498339,15630.368035318,12361085.43593582,15589.484266418,24.0,43088.37746003996,24.0,60050.67948196732
2010-02-23,23.08333,3640.0760922810236,223.4063558409091,37.11507541666667,927.3022072629,192.11135523111528,458.93819696030806,13490.385774880002,10876220.591844073,13373.143705296,20.33333,34241.7289064,20.5,49280.666051
2010-02-24,24.0,3637.9458697326368,223.428150125,41.87801104166667,878.6632641546013,192.80730725,407.94947677404224,15927.561586168002,12738157.083561178,16672.526753632,24.0,46594.66134358778,24.0,56061.82366792348
2010-02-25,18.5,3670.9653366173234,223.3112664848819,40.52809641025641,871.9254694085627,189.47990160427068,411.04870450232914,10752.934405548,8582682.722470287,11038.93209353,18.5,44776.13221455018,18.5,54146.96889325013
2010-02-26,20.35833,3703.9848035020095,223.1943828447638,36.96189047619048,927.7651877002356,182.5459159803363,459.3604814935496,10441.148494106,8445475.707297288,15045.101158988,14.35833,29973.11601229816,14.19167,41262.6670428282
2010-02-27,17.6,3644.6206423209137,223.39149941590583,39.41236552631579,861.6750785789311,192.6153379329559,412.6274878393516,10252.517074212,8025666.250005583,15563.633144852,18.475,26920.246905445125,18.475,25489.654224948557
2010-02-28,12.241666666666667,3781.882553880201,221.27631566585197,28.912873684210524,1065.2256602037237,189.772275130568,645.2867947258588,6943.217091163335,5393820.818657726,10440.834003576001,0.0,0.0,0.0,0.0
2010-03-01,6.883333333333333,3740.264436023618,219.16113191579814,18.413381842105263,1268.776241828516,186.92921232818009,877.946101612366,3633.917108114668,2761975.387309869,5318.034862300001,0.0,0.0,0.0,0.0
2010-03-02,1.525,3698.646318167035,221.10145108555866,7.91389,1472.3268234533086,184.08614952579217,1110.6054084988732,324.617125066,130129.95596201166,195.235721024,0.0,0.0,0.0,0.0
2010-03-03,23.5,3657.028200310452,223.04177025531916,38.44253042553191,921.6861568924252,181.24308672340428,453.03977966770174,13297.540181884,10303011.285247562,13271.563264106002,23.15834,40697.97933296349,0.0,0.0
2010-03-04,23.66666,3588.446241775815,223.2465410301665,40.985750208333336,876.6672869681066,192.5946839008977,405.523614195885,14673.813639269998,11399916.26367038,12370.862386186,24.0,46836.4078959415,0.0,0.0
2010-03-05,24.0,3545.3858341551545,223.2822335,43.07370958333333,849.0790857893674,192.813596375,372.2171577598469,15567.784419848,12076305.844613733,13470.132584748,24.0,47133.65768293977,0.0,0.0
2010-03-06,20.99166,3545.6017619639274,223.27405492922904,41.36151465116279,859.5885628566383,191.14023981369743,385.8575761600224,13076.642033612,10132961.630023582,11577.96886195,21.825,35571.81457629482,13.16667,16738.835003915443
2010-03-07,16.5,3578.061235344675,223.0141751824806,39.3082789255814,895.1288453863255,183.84938574018705,421.81796137337153,10160.622941346,7888865.883219883,8137.662607120999,10.9125,26742.038552996546,14.50417,24386.42019485772
2010-03-08,12.00834,3610.520708725423,222.7542954357322,37.2550432,930.6691279160126,176.55853166667666,457.7783465867206,7244.60384908,5644770.136416185,4697.356352292,0.0,0.0,15.84167,32034.0053858
2010-03-09,24.0,3539.2135658741527,223.29626675,42.28963770833333,864.1390521200215,192.62795075,387.76971757304216,15138.504846398,11722387.905077647,16197.331562802,11.425,9082.4865064,24.0,38872.27741821644
2010-03-10,24.0,3523.0863967591968,223.280354,42.239920833333336,861.8938981519769,193.013409875,386.2306254432988,14802.943450888,11473472.476691237,12764.667427852,24.0,20693.42427807961,24.0,26129.46252077637
2010-03-11,23.66666,3535.128771304913,223.23925819841756,39.95633291666667,875.1408042925273,191.5122156864484,400.6524928780418,15176.495302422,11821174.68173767,13443.023501062,23.5,18388.087687706684,23.5,26217.419456281277
2010-03-12,21.75,3653.00561934877,222.98882322637797,30.612714222222223,962.3882350805108,178.4472398276662,487.5609445088282,12801.903106604,10179479.168469127,10512.47494631,15.5,15724.5265,15.5,18353.6673308
2010-03-13,24.0,3476.0848489152577,223.30271395744683,43.45385208333333,817.5256327848741,193.06148957446808,339.43646253492534,16678.124685066,13524781.043528987,15119.383822174,24.0,47599.316062450336,24.0,55347.45614635139
2010-03-14,24.0,3472.1895210755324,223.391704625,46.103766875,801.291263230427,192.497823125,322.6987116732756,16875.247349269997,13551427.019010352,15829.692133231998,24.0,48335.00200730501,24.0,55462.02445020876
2010-03-15,24.0,3499.867441255656,223.386533375,44.316175,822.1713885168923,193.5435605,345.369775035043,16048.011459158,12724291.48596632,18427.132318608,24.0,48733.43179470144,24.0,54860.563136939214
2010-03-16,24.0,3533.330714356091,223.3722515,42.54006104166667,848.6896534195982,193.351507625,372.7025174852053,15370.347265114,12237828.77355781,15816.546429078,24.0,48849.500855230224,24.0,53280.37312753434
2010-03-17,24.0,3545.796952688374,223.35679212500003,41.93866375,855.2112299844753,192.06279425,379.98359020835824,14866.28184363,11671307.711691683,17030.542772983998,24.0,36742.87282530124,24.0,38197.97577002297
2010-03-18,24.0,3526.2810130844828,223.337147375,42.64224541666667,839.7232361376463,190.830086375,362.8058764976339,14483.106581878,11876552.31691697,14815.963358830002,24.0,25775.205859632264,24.0,29618.1995624481
2010-03-19,24.0,3514.913607849864,223.317147125,42.677826458333335,833.8174475056437,189.049474625,353.0899555532301,14311.772141134,11230979.020448126,12827.75422817,24.0,25032.5831788121,24.0,30697.245146273883
2010-03-20,24.0,3504.76356176105,223.30303400000005,42.7358275,830.4343546398271,192.043733375,349.8211191871424,14163.898693928,11098038.370161751,12808.88479637,24.0,24664.586214131185,24.0,31087.78210063041
2010-03-21,24.0,3492.841900853903,223.29135275,42.770594375,824.5479043728914,193.201258625,344.13424386931416,13967.15341836,10935587.7249229,12776.869660416,24.0,24483.497384415325,24.0,31164.747774254247
2010-03-22,24.0,3460.8621281268843,223.300709,45.04113625,795.9003072007923,191.314791875,313.5501602302105,16668.186784318,13071940.719012672,14874.77308794,24.0,24458.58014378854,24.0,31681.968615028876
