DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,F_4_ON_STREAM_HRS,F_4_BORE_WI_VOL,F_5_ON_STREAM_HRS,F_5_BORE_WI_VOL
2011-11-06,24.0,3512.297196553593,217.0584725,2883.4036899329312,0.0,65.830968125,628.8935066206622,189.188720375,158.17816310603908,10906.971867142,9274588.508531056,22880.506917726,24.0,34495.37980326695,24.0,31928.284536572188
2011-11-07,24.0,3505.690168588078,217.25150150000002,2900.51729394184,0.0,67.64436083333334,605.1728746462381,189.84932,148.11410022290303,11364.052403444,9810915.883496977,23444.073947486,24.0,39091.172879,24.0,37996.7458346
2011-11-08,24.0,3499.213272711364,217.469050625,2902.654234649239,0.0,70.331985,596.5590380621251,186.052866875,143.52571655973045,11730.119380364,10140999.954462728,23859.893326252,24.0,36493.90857245291,24.0,39294.3367569023
2011-11-09,24.0,3487.799606481562,217.4740805,2901.839077237386,0.0,71.06082979166666,585.9605292441762,184.79230775,149.66106669317196,11907.806529814,10303461.547248263,24010.848780652,24.0,37530.00601126241,24.0,38418.067170152506
2011-11-10,24.0,3479.471862878893,217.472956625,2894.515807597333,0.0,71.21203083333333,584.9560552815595,186.9971165,155.27894332876625,12149.649747384,10493142.978849387,23933.924397014,24.0,37587.9081456,24.0,38500.55966366
2011-11-11,11.80833,3493.422575280088,217.47078181768802,2897.9044743547965,0.0,34.86067875,595.5181009252917,183.96313002163558,167.0902502623822,6880.738305870001,5335433.785295975,11455.00306472,11.80833,18271.741027697437,12.14167,18745.24492121653
2011-11-12,15.35833,3623.9640187560467,217.14111434071933,2944.2551309153127,0.0,35.68102770833333,679.7088878407342,171.22922128553822,248.2215558368698,6040.545405922,5413298.387656852,13710.780738304002,15.85833,22684.26504714937,15.94167,20581.782894342505
2011-11-13,24.0,3484.1005609899903,217.39545950000002,2896.340028811887,0.0,71.05306958333334,587.7605321781034,190.46957675,155.87348927626275,11922.96497336,10173569.96528662,23643.272249188,24.0,39685.713060275855,24.0,36380.53256640325
2011-11-14,24.0,3487.0331787280575,217.42867325,2901.3768933339115,0.0,70.97585875,585.6562853941454,191.24106725,155.7570481456051,11910.38535216,10211579.494225627,23776.993622544,24.0,40251.26383471137,24.0,36415.42438261534
2011-11-15,24.0,3489.450317237174,217.406183,2908.5877496621556,0.0,72.59628875,580.8625675750188,189.979115,151.04076537047283,11830.945044282,10205832.738510039,23904.676777724,24.0,40333.16112999367,24.0,36622.3764365411
2011-11-16,24.0,3493.7592947629487,217.36178112500002,2915.906640975492,0.0,73.14742333333334,577.8526537874566,189.120717875,148.24960172962955,11782.136114026,10186838.038720552,24153.375888848,24.0,40578.601661905224,24.0,36617.06912449549
2011-11-17,24.0,3496.9293785591753,217.33697037500002,2920.073608426047,0.0,73.285385,576.8557701331284,189.100546625,147.21092907704025,11710.872559928,10136953.24680311,24226.086099384,24.0,40530.52889108184,24.0,36529.64900073851
2011-11-18,24.0,3499.467403001296,217.326952625,2924.8920400714046,0.0,73.86856104166667,574.5753629298913,188.03023100000001,144.72611535504836,11619.230019486,10089069.030755443,24367.98422652,24.0,40120.559942954875,24.0,36104.192393826845
2011-11-19,24.0,3502.9400536487083,217.31697125,2929.9927816305403,0.0,74.12990166666667,572.9472720181677,189.91453850000002,143.14524631352194,11509.976009364,9995743.314157233,24448.934088942002,24.0,40878.98877367135,24.0,35727.51041804776
2011-11-20,24.0,3506.3359249435666,217.30758875,2935.4646264153057,0.0,74.18327645833334,570.871298528261,189.65996525,141.5100938769295,11389.966423115999,9873119.84375354,24506.67455025,24.0,40713.9440138,24.0,36183.39343862
2011-11-21,24.0,3509.6035405753596,217.29713375,2940.5955992779554,0.0,74.267216875,569.0079412974037,188.62333062500002,139.7968295535654,11277.315915270001,9798608.015851203,24535.104494162,24.0,40876.22112728,24.0,36230.56701812
2011-11-22,24.0,3513.6313171217275,217.278917,2945.8940635334197,0.0,74.23822645833333,567.7372535883077,188.555909,138.6742525695431,11162.904260456,9714770.997054389,24631.401494448,24.0,40979.46939823549,24.0,36370.8297945
2011-11-23,24.0,3514.800357549442,217.073511875,2948.5542883130447,0.0,74.18595,566.2460692363974,187.93995125,137.05332893937236,11033.522856414,9608774.378036508,24694.362498554,24.0,41566.37765829815,24.0,35857.581249539995
2011-11-24,23.475,3523.7915701045017,217.25149580544408,2956.649255283514,0.0,75.18279916666667,567.1423148209876,189.38837540413292,138.43662494549045,10633.742494678001,9263873.332354423,24330.937242085998,23.475,40519.577721501846,23.30833,34359.91936017815
2011-11-25,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2011-11-26,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2011-11-27,,,,,,,,,,,,,0.275,213.01158407667148,0.275,561.4324410121515
2011-11-28,23.16667,3620.7771619773307,216.93218897376534,2979.9762342295166,0.0,59.95091083333333,640.8009277478141,174.227521528009,180.31949035302222,8496.779343328,7382360.155140258,22318.134951980002,22.83333,35075.246786780815,22.83333,32672.98923904811
2011-11-29,,,,,,,,,,,,,1.05833,1242.3500710380547,1.05833,1500.0515561370685
2011-11-30,,,,,,,,,,,,,0.0,0.2868206048688333,0.0,0.0
2011-12-01,,,,,,,,,,,,,0.0,0.07908650603175,0.0,0.0
2011-12-02,20.525,3554.8726872952907,216.9091728138816,2947.4735532098803,0.0,60.469380625,607.3991340854107,179.13523247162388,173.99503028488627,8483.004658114,7360981.009053736,20259.857331236,19.15834,29791.6879069,19.19167,28851.990203260004
2011-12-03,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2011-12-04,,,,,,,,,,,,,0.0,0.0,0.0,285.47539259279364
2011-12-05,18.03334,3586.976321159227,216.8943754279884,2946.6220386322457,0.0,50.11050791666667,640.3542825269817,180.72272874922118,202.48073241357503,8544.959292524,7342773.120038804,20049.211574242003,16.525,26363.16962067398,16.525,25612.73774426
2011-12-06,4.80833,3555.41310700418,217.10745752370156,2942.7489270612796,0.0,15.159327083333332,612.6641799429005,186.31289329339708,181.00632608338776,3574.688058298,2564708.247581412,7706.464641438,4.64167,6725.06549352,4.64167,7438.95899662
2011-12-07,19.0,3540.2512956224127,216.88877300000001,2948.391786727322,0.0,57.37729208333333,591.8595088950905,182.5593705263158,157.87835260800625,8645.847854548,7541050.1415199395,19628.674837526,18.85833,30658.985500770348,18.85833,26965.122143254222
2011-12-08,14.64167,3514.6543552349426,217.07135401111623,2938.6626044897184,0.0,46.77321375,575.9917507452246,188.1793361551763,145.94563996544787,7988.059462,6467781.269533814,16277.40085174,14.39167,23189.84471825891,14.30833,21785.26524981652
2011-12-09,,,,,,,,,,,,,0.0,0.13179773961416666,0.0,0.0
2011-12-10,6.19167,3609.5787253373937,216.58124196911658,2962.646562504305,0.0,16.386312916666668,646.9321628330885,166.64708489412712,195.78247003886196,3563.8695840660002,3103035.138977102,11107.8055196,7.19166,9844.201975436079,7.19166,8130.36137138973
2011-12-11,24.0,3493.7881361214736,217.00311725,2922.6713491351693,0.0,77.85393166666667,571.1167869863042,187.641621125,139.03869010246353,11696.028606912,9831347.890222028,24808.019376096,24.0,38640.882433039726,24.0,37619.09178038607
2011-12-12,24.0,3489.3876518694997,217.04126000000002,2921.676063917579,0.0,79.78843729166667,567.7115879519207,188.294983625,137.40473120559005,12199.968232184001,10417400.787958473,25533.234538276,24.0,40023.11332384683,24.0,38899.188640185486
2011-12-13,4.30833,3535.523947501999,217.06784695808818,2928.6926961329355,0.0,14.023716666666667,606.8312513690637,184.45186420676688,170.6387524619179,3593.99777684,2637857.988788302,7681.305399038,4.30833,6610.5909406,4.30833,7220.7025688
2011-12-14,,,,,,,,,,,,,1.025,1226.513067,1.025,1471.8156804
2011-12-15,24.0,3496.08872170001,216.9866855,2918.722557723621,0.0,75.08592645833333,577.3661639763895,187.34431775,145.8373884603653,11412.169454534001,9766261.900014322,24292.003314472,24.0,37801.761706,24.0,37474.6915548
2011-12-16,24.0,3488.3742792373328,217.02477687500001,2914.428923981879,0.0,76.52019729166666,573.9453552554538,190.664707625,143.42174867454077,12228.712666626001,10435903.201293863,25052.126925482,24.0,37126.8511438631,24.0,37852.0801908
2011-12-17,21.14167,3496.511613955811,217.08300067055725,2920.3676836884415,0.0,67.40822854166667,576.1439302673692,189.6756218490545,146.1643194710194,11489.722819232,9263853.202994391,21815.453288828,21.14167,32517.191247673778,21.30833,33247.9388316
2011-12-18,15.19167,3541.268537203139,216.91796032171317,2938.5130989389218,0.0,45.048469375,602.7554382642174,183.31402389319675,164.07494288763422,7280.078380864001,6382715.300335092,16747.564194090002,16.525,23199.519997137944,16.525,24153.032248977
2011-12-19,24.0,3492.943913751249,217.05500825000001,2923.3814750517545,0.0,77.38827458333333,569.562438699495,190.27055900000002,139.56694171721588,11977.497631262,10247341.597774478,25151.820423492,24.0,39846.633925482965,24.0,36405.4237528
2011-12-20,24.0,3495.6888435914852,217.072442375,2927.1594150295587,0.0,77.23952791666666,568.5294285619268,189.62909862499998,138.63175046907006,11939.318480920001,10242519.02688699,25271.20102868,24.0,40524.62071474,24.0,36115.46348414
2011-12-21,24.0,3498.833086175943,217.0870010638298,2931.8644938322996,0.0,77.37704854166667,566.9685923436434,189.903344,137.28637385382473,11907.429141178001,10238153.780933546,25614.184400698,24.0,40744.14616295326,24.0,36083.56205878901
2011-12-22,24.0,3502.3913758858544,217.09021775000002,2936.3881149309664,0.0,77.39519645833333,566.0032609548878,189.8235665,136.28661715363077,11742.636103458,10091289.970145559,25496.187553842003,24.0,38736.42756116,24.0,38198.0197738
2011-12-23,24.0,3506.2280168664947,217.085278625,2940.993138652955,0.0,77.43297375,565.2348782135396,189.549330125,135.51777512611233,11667.347070576001,10016849.12472333,25482.22417431,24.0,36839.28310638652,24.0,40077.077753707345
2011-12-24,17.975,3513.9263150313323,217.07642744608512,2944.3575180411135,0.0,58.22598708333334,569.5687969902185,189.04077339452016,140.64882439455542,9751.659456134,7762377.752263525,19780.82535594,18.475,27146.989738007258,18.475,30062.029474003408
2011-12-25,,,,,,,,,,,,,0.0,6.154214076858875,0.0,344.68018077544804
2011-12-26,0.0,4227.27176042773,212.17701223211856,2887.1879740586296,0.0,0.7274310416666666,1340.0837863691006,52.5298229527356,1121.8176265350787,0.0,1991.0409097575268,283.796254272,0.0,0.0,0.0,357.6034169492805
2011-12-27,17.5,3616.601105174658,216.80749142857144,2965.164390879199,0.0,43.740174375,651.4367142954593,174.32697251428573,209.4026558165413,6515.237411904,5729048.235400349,16571.76398782,19.44168,28724.897555154785,19.44168,25093.81691575282
2011-12-28,10.475,3539.484773111956,217.03796525644105,2943.8675660901195,0.0,31.121954166666665,595.6172070218372,185.64813492741575,153.1710580070172,5647.117752892001,4139709.5407197527,10538.5776603,10.475,17364.90910448,10.475,16398.79419632
2011-12-29,2.85833,3848.1056245368327,216.12817754215223,3034.7415214950647,0.0,4.824328125,813.3641030417679,142.57009528485514,351.7246860674211,1000.520172142,849893.7168660281,3453.923694778,2.525,2900.2316676600003,2.525,2736.067611
2011-12-30,24.0,3514.8689332049403,216.953746625,2938.479858253261,0.0,77.69660708333333,576.389074951679,188.84369037500002,135.65056624010995,10864.641441804,9524474.383958977,24734.428592076,24.0,36821.961362417656,24.0,36685.32685148888
2011-12-31,24.0,3508.6935798503864,217.00072625,2943.6883175274374,0.0,80.18969166666666,565.0052623229489,187.550031125,128.6848992295748,11185.673374828,9662944.251613934,24893.686596468,24.0,37953.34614146,24.0,35935.57490098
2012-01-01,24.0,3512.576862550272,217.002825875,2949.457879464024,0.0,81.16999041666666,563.1189830862484,187.601589875,126.68935823024775,11143.594541914,9606112.711605709,25057.787755022,24.0,38279.15833054,24.0,36040.614738
2012-01-02,23.80833,3520.5070398760276,216.98924113965154,2949.9080000835033,0.0,81.06059770833333,570.5990397925248,186.81371536563884,133.8917816589162,11178.314296426,9573022.868887676,24871.48356505,24.0,36765.56213114936,24.0,35511.13246050873
2012-01-03,,,,,,,,,,,,,11.225,0.0,11.225,0.0
2012-01-04,,,,,,,,,,,,,0.0,0.017696644198541667,0.0,0.0
2012-01-05,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-01-06,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-01-07,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-01-08,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-01-09,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-01-10,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-01-11,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-01-12,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-01-13,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2012-01-14,2.5,4174.252235999373,212.5912163767058,2774.4760433758315,0.0,3.972590625,1399.7761926235403,76.04071159902486,622.0866414339405,679.802729648,588204.9735264534,1405.898465312,4.19167,4747.56213678982,4.025,3576.815920879638
2012-01-15,24.0,3463.349117414946,216.812244125,2879.466099665023,0.0,78.93041916666667,583.8830177499228,185.371716875,152.7881860811359,12146.504842084001,10283753.138044335,23869.705430788,24.0,34392.98615377485,24.0,33862.27239295583
2012-01-16,24.0,3462.9716143991272,216.92420112500002,2890.4748960708175,0.0,79.51621083333333,572.4967183283098,187.84360175,142.5676063273611,12476.090917524,10621417.502221853,24523.845733188,24.0,42681.08151106895,24.0,37547.29800442714
2012-01-17,24.0,3472.9866938078735,217.00148149999998,2907.5447319206655,0.0,83.05313291666667,565.4419618872081,188.627661125,135.83745643038156,12485.085346682,10664865.1366893,25538.895367816,24.0,30459.676881031937,24.0,44360.17819724758
