DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
18-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.066,101.07,209.882,22.002,98.99266,%,32.184,87.673,3.232,967,"153,914","3,360",,production,OP
19-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.397,101.066,210.152,21.948,99.00143,%,32.246,86.87,3.187,956,"152,840","3,350",,production,OP
20-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,244.244,101.041,210.853,21.798,99.03284,%,33.392,86.378,2.906,913,"146,305","3,283",,production,OP
21-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.732,101.061,210.38,21.96,99.03918,%,32.353,87.517,3.181,959,"152,534","3,383",,production,OP
22-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,19.92,248.29,100.994,212.554,21.364,72.03672,%,35.736,85.818,5.861,711,"121,901","2,612",,production,OP
23-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,244.2,101.022,210.969,22.031,100,%,33.231,87.752,4.141,923,"148,240","3,313",,production,OP
24-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.664,101.041,210.372,22.418,99.92174,%,32.293,88.388,3.155,944,"151,902","3,358",,production,OP
25-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.269,101.029,210.165,22.421,99.99932,%,32.105,88.503,3.182,951,"151,700","3,360",,production,OP
26-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.287,101.012,210.178,22.411,100,%,32.109,88.493,3.188,952,"151,415","3,351",,production,OP
27-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.297,101.02,210.169,22.363,100,%,32.127,88.483,3.203,946,"150,920","3,365",,production,OP
